00:44:45 [5037ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Strike) (Frame 2), Sound Stun on comma and removing spaces
00:44:45 [5037ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Strike) (Frame 2), Sound Stun
00:44:45 [5038ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Strike), Sound Stun on comma and removing spaces
00:44:45 [5038ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Strike), Sound Stun
00:44:45 [5038ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full), Sound Stun on comma and removing spaces
00:44:45 [5038ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full), Sound Stun
00:44:45 [5038ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5039ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5039ms] frame_data_operations[28]| DEBUG: Splitting Armor (2 hits) on comma and removing spaces
00:44:45 [5039ms] frame_data_operations[23]| DEBUG: Removing spaces from Armor (2 hits)
00:44:45 [5039ms] frame_data_operations[28]| DEBUG: Splitting Armor (2 hits) on comma and removing spaces
